Comment,Designator,Footprint,JLCPCB Part #(optional)
0,"JP1, JP2",1X01,
0.36-0.4-2CHAR_SMD_MIRROR,U$2,COMBO-036-04_SMD,
100n,"C3, C4, C5, C6, C7, C8, C9, C10, C13, C14, C19, C20",C0603,
10k,"R1, R17, R19, R20, R21, R22",R0603,
10u,"C15, C16, C17",C0603,
1N5819WS,"D1, D2, D3",SODFL2512X90N,
1k,"R2, R3, R12, R13, R15, R18",R0603,
1u,"C11, C12, C18, C21",C0603,
22p,"C1, C2",C0603,
330,"R4, R5, R6, R7, R8, R9, R10, R11",R0603,
3k9,R16,R0603,
4k7,R14,R0603,
5k6,R23,R0603,
74HC595D,IC2,SOIC127P600X175-16N,
ADXL362BCCZ-RL7,AC1,CC-16-4,
AO3400A,"Q1, Q2, Q3, Q4",SOT95P280X125-3N,
CH340C,IC4,SOIC16N,
ME6211C33M5G-N,IC3,SOT95P282X145-5N,
MEGA8-AI,IC1,TQFP32-08,
NCD0805R1,LED1,CHIP-LED0805,
OH49E,"IC7, IC8, IC9, IC10",SOT95P237X112-3N,
SDFL2012S100KTF,"L1, L2",INDC2112X105N,
TP4056-42-ESOP8,IC5,SOIC127P600X175-9N,
"TPB1,27",TP2,"B1,27",
WIRELESS-NRF24L01-SMD-PA,U$4,WIRELESS-NRF24L01_SMD_PA,
X322516MLB4SI,U$1,X322516MLB4SI,
np,JP5,1X02,
np,JP4,1X04,
